USUARIO DEMO FLOWTRACK
Consulta de Transacciones
01/05/2026  Hasta  11/06/2026
Generado el 11/06/2026 10:00:00 AM





Banco Popular Dominicano
Cuenta: 000000000000123456789

Fecha Posteo,Descripción Corta,Monto Transacción,Balance ,No. Referencia,No. Serial,Descripción
01/05/2026,Crédito Cuenta,20000.00,30000.00,,0000000000001,NOMINA EMPRESA ABC - PAGO QUINCENA
02/05/2026,Débito Cuenta,3500.00,26500.00,,0000000000002,PAGO SERVICIO EDESUR 123456
05/05/2026,Débito Cuenta,4250.50,22249.50,,0000000000003,SUPERMERCADOS BRAVO - COMPRA SEMANAL
10/05/2026,Débito Cuenta,1200.00,21049.50,,0000000000004,RESTAURANTE EL TABLON - CENA FAMILIAR
15/05/2026,Crédito Transferencia,5540.00,26589.50,,0000000000005,TRANSFERENCIA RECIBIDA - REEMBOLSO VIAJE
15/05/2026,Débito Cuenta,2100.40,24489.10,,0000000000006,PAGO INTERNET CLARO - MAYO 2026
20/05/2026,Débito Cuenta,2500.00,21989.10,,0000000000007,ESTACION SHELL - COMBUSTIBLE
25/05/2026,Débito Cuenta,850.10,21139.00,,0000000000008,FARMACIA CAROL - MEDICAMENTOS
30/05/2026,Crédito Cuenta,5000.00,26139.00,,0000000000009,DEPOSITO EFECTIVO CAJERO - AHORRO PERSONAL
01/06/2026,Débito Cuenta,500.00,25639.00,,0000000000010,NETFLIX.COM - SUSCRIPCION MENSUAL
05/06/2026,Débito Cuenta,342.00,25297.00,,0000000000011,UBER TRIP - TRANSPORTE TRABAJO
10/06/2026,Débito Cuenta,2400.00,22897.00,,0000000000012,RETIRO CAJERO AUTOMATICO POPULAR
